Mole fraction Au	LIQUID + FCC_A1	Mole fraction Au [1]	Tieline
0.96807	1336.50881	0.74024	1325.95374
0.98069	1336.85258	0.74702	1325.95374
0.99331	1337.17122	0.75291	1326.75912
0.99962	1337.32115	0.75933	1326.75912
0.99982	1337.32574	0.76557	1327.53866
0.99992	1337.32803	0.77164	1327.53866
0.99997	1337.32917	0.77824	1328.29236
0.99999	1337.32975	0.78395	1328.29236
1.00000	1337.32989	0.79090	1329.02022
1.00000	1337.32996	0.79626	1329.02022
1.00000	1337.32998	0.80357	1329.72224
1.00000	1337.32998	0.80857	1329.72224
1.00000	1337.32998	0.81623	1330.39842
0.51269	1305.79347	0.82088	1330.39842
0.51271	1305.79607	0.82889	1331.04879
0.52507	1307.08308	0.83319	1331.04879
0.53743	1308.34550	0.84156	1331.67336
0.54978	1309.58322	0.84550	1331.67336
0.56213	1310.79612	0.85422	1332.27216
0.57448	1311.98411	0.85782	1332.27216
0.58682	1313.14708	0.86688	1332.84522
0.59916	1314.28494	0.87013	1332.84522
0.61149	1315.39759	0.87954	1333.39258
0.62382	1316.48496	0.88245	1333.39258
0.63615	1317.54697	0.89220	1333.91429
0.64848	1318.58354	0.89476	1333.91429
0.66080	1319.59461	0.90485	1334.41038
0.67312	1320.58012	0.90708	1334.41038
0.68544	1321.54001	0.91750	1334.88092
0.69776	1322.47424	0.91941	1334.88092
0.71008	1323.38276	0.93015	1335.32597
0.72239	1324.26554	0.93174	1335.32597
0.73470	1325.12254	0.94279	1335.74559
0.74702	1325.95374	0.94407	1335.74559
0.75933	1326.75912	0.95543	1336.13984
0.77164	1327.53866	0.95640	1336.13984
0.78395	1328.29236	0.96807	1336.50881
0.79626	1329.02022	0.96874	1336.50881
0.80857	1329.72224	0.98069	1336.85258
0.82088	1330.39842	0.98109	1336.85258
0.83319	1331.04879	0.99331	1337.17122
0.84550	1331.67336	0.99345	1337.17122
0.85782	1332.27216	0.99962	1337.32115
0.87013	1332.84522	0.99963	1337.32115
0.88245	1333.39258	0.99982	1337.32574
0.89476	1333.91429	0.99982	1337.32574
0.90708	1334.41038	0.99992	1337.32803
0.91941	1334.88092	0.99992	1337.32803
0.93174	1335.32597	0.99997	1337.32917
0.94407	1335.74559	0.99997	1337.32917
